Files already downloaded and verified
Market1501 dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   676 |    11744
  val      |    75 |     1192
  trainval |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Files already downloaded and verified
DukeMTMC dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   632 |    14923
  val      |    70 |     1599
  trainval |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
Resuming checkpoints from finetuned model on another dataset...

=> Loaded checkpoint 'ACT_pretrain/logMar/adaM2D.pth'
Mean AP: 49.4%
CMC Scores    allshots      cuhk03  market1501
  top-1          33.3%       52.1%       67.7%
  top-5          45.8%       68.7%       80.3%
  top-10         51.5%       74.5%       83.4%
Iteration 1: Extracting Target Dataset Features...
Computing source distance...
-----* Distance Matrix has been computed*-----
Computing original distance...
-----* Distance Matrix has been computed*-----
done...
Starting re_ranking...
clusters num = 664
Iteration 1 have 13778 training images
Epoch: [0][1/41]	Time 17.983 (17.983)	Data 3.746 (3.746)	Loss 0.111 (0.111)	Prec 90.62% (90.62%)	
Epoch: [0][2/41]	Time 1.556 (9.770)	Data 0.000 (1.873)	Loss 0.086 (0.099)	Prec 97.92% (94.27%)	
Epoch: [0][3/41]	Time 0.320 (6.620)	Data 0.000 (1.249)	Loss 0.057 (0.085)	Prec 96.88% (95.14%)	
Epoch: [0][4/41]	Time 0.404 (5.066)	Data 0.003 (0.937)	Loss 0.082 (0.084)	Prec 95.83% (95.31%)	
Epoch: [0][5/41]	Time 0.533 (4.159)	Data 0.010 (0.752)	Loss 0.115 (0.090)	Prec 91.67% (94.58%)	
Epoch: [0][6/41]	Time 0.556 (3.559)	Data 0.000 (0.627)	Loss 0.102 (0.092)	Prec 92.71% (94.27%)	
Epoch: [0][7/41]	Time 0.567 (3.131)	Data 0.000 (0.537)	Loss 0.085 (0.091)	Prec 96.88% (94.64%)	
Epoch: [0][8/41]	Time 0.768 (2.836)	Data 0.007 (0.471)	Loss 0.065 (0.088)	Prec 95.83% (94.79%)	
Epoch: [0][9/41]	Time 1.002 (2.632)	Data 0.016 (0.420)	Loss 0.081 (0.087)	Prec 94.79% (94.79%)	
Epoch: [0][10/41]	Time 0.585 (2.428)	Data 0.000 (0.378)	Loss 0.067 (0.085)	Prec 96.88% (95.00%)	
Epoch: [0][11/41]	Time 1.094 (2.306)	Data 0.000 (0.344)	Loss 0.091 (0.086)	Prec 93.75% (94.89%)	
