Files already downloaded and verified
Market1501 dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   676 |    11744
  val      |    75 |     1192
  trainval |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Files already downloaded and verified
DukeMTMC dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   632 |    14923
  val      |    70 |     1599
  trainval |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
Resuming checkpoints from finetuned model on another dataset...

=> Loaded checkpoint 'ACT_pretrain/logMar/adaM2D.pth'
Mean AP: 49.4%
CMC Scores    allshots      cuhk03  market1501
  top-1          33.3%       52.1%       67.7%
  top-5          45.8%       68.7%       80.3%
  top-10         51.5%       74.5%       83.4%
Iteration 1: Extracting Target Dataset Features...
Computing source distance...
-----* Distance Matrix has been computed*-----
Computing original distance...
-----* Distance Matrix has been computed*-----
done...
Starting re_ranking...
clusters num = 664
Iteration 1 have 13778 training images
Epoch: [0][1/516]	Time 2.415 (2.415)	Data 0.830 (0.830)	Loss 0.120 (0.120)	Prec 37.50% (37.50%)	
Epoch: [0][2/516]	Time 0.241 (1.328)	Data 0.000 (0.415)	Loss 0.176 (0.148)	Prec 28.12% (32.81%)	
Epoch: [0][3/516]	Time 0.246 (0.967)	Data 0.000 (0.277)	Loss 0.101 (0.132)	Prec 59.38% (41.67%)	
Epoch: [0][4/516]	Time 0.238 (0.785)	Data 0.000 (0.208)	Loss 0.121 (0.130)	Prec 43.75% (42.19%)	
Epoch: [0][5/516]	Time 0.239 (0.676)	Data 0.000 (0.166)	Loss 0.142 (0.132)	Prec 31.25% (40.00%)	
Epoch: [0][6/516]	Time 0.242 (0.603)	Data 0.000 (0.139)	Loss 0.157 (0.136)	Prec 40.62% (40.10%)	
Epoch: [0][7/516]	Time 0.242 (0.552)	Data 0.000 (0.119)	Loss 0.116 (0.133)	Prec 50.00% (41.52%)	
Epoch: [0][8/516]	Time 0.241 (0.513)	Data 0.000 (0.104)	Loss 0.125 (0.132)	Prec 46.88% (42.19%)	
Epoch: [0][9/516]	Time 0.242 (0.483)	Data 0.000 (0.092)	Loss 0.161 (0.135)	Prec 31.25% (40.97%)	
Epoch: [0][10/516]	Time 0.242 (0.459)	Data 0.000 (0.083)	Loss 0.101 (0.132)	Prec 53.12% (42.19%)	
Epoch: [0][11/516]	Time 0.242 (0.439)	Data 0.000 (0.076)	Loss 0.155 (0.134)	Prec 28.12% (40.91%)	
Epoch: [0][12/516]	Time 0.242 (0.423)	Data 0.000 (0.069)	Loss 0.104 (0.132)	Prec 46.88% (41.41%)	
Epoch: [0][13/516]	Time 0.242 (0.409)	Data 0.000 (0.064)	Loss 0.107 (0.130)	Prec 43.75% (41.59%)	
Epoch: [0][14/516]	Time 0.242 (0.397)	Data 0.000 (0.060)	Loss 0.119 (0.129)	Prec 34.38% (41.07%)	
Epoch: [0][15/516]	Time 0.243 (0.387)	Data 0.000 (0.056)	Loss 0.099 (0.127)	Prec 46.88% (41.46%)	
Epoch: [0][16/516]	Time 0.242 (0.377)	Data 0.000 (0.052)	Loss 0.085 (0.124)	Prec 53.12% (42.19%)	
Epoch: [0][17/516]	Time 0.242 (0.370)	Data 0.000 (0.049)	Loss 0.095 (0.123)	Prec 50.00% (42.65%)	
Epoch: [0][18/516]	Time 0.242 (0.362)	Data 0.000 (0.046)	Loss 0.101 (0.121)	Prec 40.62% (42.53%)	
Epoch: [0][19/516]	Time 0.242 (0.356)	Data 0.000 (0.044)	Loss 0.145 (0.123)	Prec 34.38% (42.11%)	
Epoch: [0][20/516]	Time 0.243 (0.350)	Data 0.000 (0.042)	Loss 0.102 (0.122)	Prec 46.88% (42.34%)	
Epoch: [0][21/516]	Time 0.242 (0.345)	Data 0.000 (0.040)	Loss 0.115 (0.121)	Prec 43.75% (42.41%)	
Epoch: [0][22/516]	Time 0.243 (0.341)	Data 0.000 (0.038)	Loss 0.091 (0.120)	Prec 46.88% (42.61%)	
Epoch: [0][23/516]	Time 0.243 (0.336)	Data 0.000 (0.036)	Loss 0.138 (0.121)	Prec 40.62% (42.53%)	
Epoch: [0][24/516]	Time 0.241 (0.332)	Data 0.000 (0.035)	Loss 0.119 (0.121)	Prec 40.62% (42.45%)	
Epoch: [0][25/516]	Time 0.242 (0.329)	Data 0.000 (0.034)	Loss 0.135 (0.121)	Prec 31.25% (42.00%)	
Epoch: [0][26/516]	Time 0.240 (0.325)	Data 0.000 (0.032)	Loss 0.079 (0.120)	Prec 53.12% (42.43%)	
Epoch: [0][27/516]	Time 0.241 (0.322)	Data 0.000 (0.031)	Loss 0.089 (0.118)	Prec 59.38% (43.06%)	
Epoch: [0][28/516]	Time 0.242 (0.319)	Data 0.000 (0.030)	Loss 0.158 (0.120)	Prec 25.00% (42.41%)	
Epoch: [0][29/516]	Time 0.242 (0.317)	Data 0.000 (0.029)	Loss 0.121 (0.120)	Prec 53.12% (42.78%)	
Epoch: [0][30/516]	Time 0.243 (0.314)	Data 0.000 (0.028)	Loss 0.141 (0.121)	Prec 40.62% (42.71%)	
Epoch: [0][31/516]	Time 0.244 (0.312)	Data 0.000 (0.027)	Loss 0.106 (0.120)	Prec 43.75% (42.74%)	
Epoch: [0][32/516]	Time 0.242 (0.310)	Data 0.000 (0.026)	Loss 0.102 (0.119)	Prec 43.75% (42.77%)	
Epoch: [0][33/516]	Time 0.242 (0.308)	Data 0.000 (0.025)	Loss 0.101 (0.119)	Prec 43.75% (42.80%)	
Epoch: [0][34/516]	Time 0.243 (0.306)	Data 0.000 (0.025)	Loss 0.084 (0.118)	Prec 53.12% (43.11%)	
Epoch: [0][35/516]	Time 0.243 (0.304)	Data 0.000 (0.024)	Loss 0.134 (0.118)	Prec 40.62% (43.04%)	
Epoch: [0][36/516]	Time 0.243 (0.302)	Data 0.000 (0.023)	Loss 0.145 (0.119)	Prec 31.25% (42.71%)	
Epoch: [0][37/516]	Time 0.243 (0.301)	Data 0.000 (0.023)	Loss 0.117 (0.119)	Prec 53.12% (42.99%)	
Epoch: [0][38/516]	Time 0.243 (0.299)	Data 0.000 (0.022)	Loss 0.121 (0.119)	Prec 46.88% (43.09%)	
Epoch: [0][39/516]	Time 0.247 (0.298)	Data 0.000 (0.022)	Loss 0.145 (0.120)	Prec 37.50% (42.95%)	
Epoch: [0][40/516]	Time 0.242 (0.296)	Data 0.000 (0.021)	Loss 0.134 (0.120)	Prec 34.38% (42.73%)	
Epoch: [0][41/516]	Time 0.243 (0.295)	Data 0.000 (0.021)	Loss 0.146 (0.121)	Prec 37.50% (42.61%)	
Epoch: [0][42/516]	Time 0.257 (0.294)	Data 0.000 (0.020)	Loss 0.111 (0.121)	Prec 53.12% (42.86%)	
Epoch: [0][43/516]	Time 0.247 (0.293)	Data 0.001 (0.020)	Loss 0.103 (0.120)	Prec 56.25% (43.17%)	
Epoch: [0][44/516]	Time 0.249 (0.292)	Data 0.000 (0.019)	Loss 0.110 (0.120)	Prec 53.12% (43.39%)	
Epoch: [0][45/516]	Time 0.246 (0.291)	Data 0.000 (0.019)	Loss 0.121 (0.120)	Prec 50.00% (43.54%)	
Epoch: [0][46/516]	Time 0.247 (0.290)	Data 0.000 (0.018)	Loss 0.109 (0.120)	Prec 50.00% (43.68%)	
Epoch: [0][47/516]	Time 0.247 (0.289)	Data 0.000 (0.018)	Loss 0.097 (0.119)	Prec 62.50% (44.08%)	
Epoch: [0][48/516]	Time 0.247 (0.288)	Data 0.000 (0.018)	Loss 0.110 (0.119)	Prec 50.00% (44.21%)	
Epoch: [0][49/516]	Time 0.247 (0.288)	Data 0.000 (0.017)	Loss 0.086 (0.118)	Prec 53.12% (44.39%)	
Epoch: [0][50/516]	Time 0.241 (0.287)	Data 0.000 (0.017)	Loss 0.106 (0.118)	Prec 34.38% (44.19%)	
Epoch: [0][51/516]	Time 0.252 (0.286)	Data 0.000 (0.017)	Loss 0.130 (0.118)	Prec 25.00% (43.81%)	
Epoch: [0][52/516]	Time 0.252 (0.285)	Data 0.001 (0.016)	Loss 0.137 (0.119)	Prec 46.88% (43.87%)	
Epoch: [0][53/516]	Time 0.245 (0.285)	Data 0.001 (0.016)	Loss 0.158 (0.119)	Prec 37.50% (43.75%)	
Epoch: [0][54/516]	Time 0.244 (0.284)	Data 0.000 (0.016)	Loss 0.113 (0.119)	Prec 34.38% (43.58%)	
Epoch: [0][55/516]	Time 0.246 (0.283)	Data 0.001 (0.015)	Loss 0.140 (0.120)	Prec 37.50% (43.47%)	
Epoch: [0][56/516]	Time 0.246 (0.282)	Data 0.000 (0.015)	Loss 0.102 (0.119)	Prec 50.00% (43.58%)	
Epoch: [0][57/516]	Time 0.244 (0.282)	Data 0.000 (0.015)	Loss 0.128 (0.120)	Prec 46.88% (43.64%)	
Epoch: [0][58/516]	Time 0.243 (0.281)	Data 0.000 (0.015)	Loss 0.156 (0.120)	Prec 34.38% (43.48%)	
Epoch: [0][59/516]	Time 0.247 (0.281)	Data 0.000 (0.014)	Loss 0.118 (0.120)	Prec 46.88% (43.54%)	
Epoch: [0][60/516]	Time 0.250 (0.280)	Data 0.000 (0.014)	Loss 0.125 (0.120)	Prec 40.62% (43.49%)	
Epoch: [0][61/516]	Time 0.244 (0.279)	Data 0.000 (0.014)	Loss 0.146 (0.121)	Prec 46.88% (43.55%)	
Epoch: [0][62/516]	Time 0.254 (0.279)	Data 0.000 (0.014)	Loss 0.080 (0.120)	Prec 53.12% (43.70%)	
Epoch: [0][63/516]	Time 0.251 (0.279)	Data 0.001 (0.014)	Loss 0.119 (0.120)	Prec 31.25% (43.50%)	
Epoch: [0][64/516]	Time 0.249 (0.278)	Data 0.000 (0.013)	Loss 0.171 (0.121)	Prec 31.25% (43.31%)	
Epoch: [0][65/516]	Time 0.247 (0.278)	Data 0.000 (0.013)	Loss 0.130 (0.121)	Prec 34.38% (43.17%)	
Epoch: [0][66/516]	Time 0.254 (0.277)	Data 0.000 (0.013)	Loss 0.118 (0.121)	Prec 43.75% (43.18%)	
Epoch: [0][67/516]	Time 0.251 (0.277)	Data 0.000 (0.013)	Loss 0.106 (0.121)	Prec 46.88% (43.24%)	
Epoch: [0][68/516]	Time 0.252 (0.277)	Data 0.000 (0.013)	Loss 0.145 (0.121)	Prec 34.38% (43.11%)	
Epoch: [0][69/516]	Time 0.244 (0.276)	Data 0.001 (0.012)	Loss 0.130 (0.121)	Prec 43.75% (43.12%)	
Epoch: [0][70/516]	Time 0.247 (0.276)	Data 0.001 (0.012)	Loss 0.097 (0.121)	Prec 37.50% (43.04%)	
Epoch: [0][71/516]	Time 0.263 (0.275)	Data 0.000 (0.012)	Loss 0.133 (0.121)	Prec 37.50% (42.96%)	
Epoch: [0][72/516]	Time 0.251 (0.275)	Data 0.001 (0.012)	Loss 0.083 (0.120)	Prec 53.12% (43.10%)	
Epoch: [0][73/516]	Time 0.245 (0.275)	Data 0.000 (0.012)	Loss 0.131 (0.121)	Prec 43.75% (43.11%)	
Epoch: [0][74/516]	Time 0.244 (0.274)	Data 0.000 (0.012)	Loss 0.120 (0.121)	Prec 43.75% (43.12%)	
Epoch: [0][75/516]	Time 0.246 (0.274)	Data 0.000 (0.011)	Loss 0.117 (0.120)	Prec 31.25% (42.96%)	
Epoch: [0][76/516]	Time 0.245 (0.274)	Data 0.001 (0.011)	Loss 0.174 (0.121)	Prec 31.25% (42.80%)	
Epoch: [0][77/516]	Time 0.245 (0.273)	Data 0.001 (0.011)	Loss 0.136 (0.121)	Prec 46.88% (42.86%)	
Epoch: [0][78/516]	Time 0.245 (0.273)	Data 0.000 (0.011)	Loss 0.133 (0.122)	Prec 43.75% (42.87%)	
